sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,SERIAL.battery2,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
11/25/2025,7:05:08.97 PM,0m 0.0s,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,-0.223694,0,1.9,2.5,118.7,118.7,,P-GPS,Auto Fly,,11,0,False,,Neo,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,1.7,119.7,119.7,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.537,734,1423,7.537,True,3.769,3.769,,False,False,0.568,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,Flight mode changed to P-GPS.,
11/25/2025,7:05:09.07 PM,0m 0.1s,0.1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1.6,2.5,119.3,119.3,,Starting Motors,Auto Fly,,11,0,False,,Neo,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,1.8,119.8,119.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.537,734,1423,7.537,True,3.769,3.769,,False,False,0.568,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,Flight mode changed to Starting Motors.,Satellite positioning signal weak. Hovering unstable. Fly with caution (Code: 30008).
11/25/2025,7:05:09.17 PM,0m 0.2s,0.2,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.1,3,119.1,119.1,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.2,119.3,119.3,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.537,734,1423,7.537,True,3.769,3.769,,False,False,0.568,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,No satellite positioning. Fly with caution.; Data Recorder File Index is 21.; Set Return to Home (RTH) altitude to 30 m (98 ft).; Set maximum flight altitude to 30 m (98 ft).,Satellite positioning signal weak. Hovering unstable. Fly with caution (Code: 30002).
11/25/2025,7:05:09.27 PM,0m 0.3s,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.223694,0.223694,0.4,3.9,117.9,117.9,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,3.1,118.5,118.5,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.529,734,1423,7.529,False,3.765,3.764,0.001,False,False,0.653,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,,
11/25/2025,7:05:09.37 PM,0m 0.4s,0.4,0,0,0,0,0.3,0,0,0.223694,0.223694,-0.223694,0,0,0,0.223694,0.223694,-0.5,4.1,117.2,117.2,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2.4,118.3,118.3,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.529,734,1423,7.529,False,3.765,3.764,0.001,False,False,0.653,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,,
11/25/2025,7:05:09.47 PM,0m 0.5s,0.5,0,0,0,0,0.3,0,0,0.447388,0.447388,-0.447388,0,0,0,0.223694,0.223694,-0.8,4,117.1,117.1,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,4.1,118.3,118.3,False,False,False,False,False,False,,True,Normal,100,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.529,734,1423,7.529,False,3.765,3.764,0.001,False,False,0.653,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,,
11/25/2025,7:05:09.57 PM,0m 0.6s,0.6,0,0,0,0,0.3,0,0.1,0.671082,0.671082,-0.671082,0,0,0,0,0.223694,-1.1,6.3,116.7,116.7,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,3,117.8,117.8,False,False,False,False,False,False,,True,Normal,100,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.529,734,1423,7.529,False,3.765,3.764,0.001,False,False,0.653,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,,
11/25/2025,7:05:09.67 PM,0m 0.7s,0.7,0,0,0,0,0.3,0,0.2,0.671082,0.671082,-0.671082,0,0,0,0,0.223694,-2,2.9,117,117,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,2,117.8,117.8,False,False,False,False,False,False,,True,Normal,100,,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.529,734,1423,7.529,False,3.765,3.764,0.001,False,False,0.653,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,,
11/25/2025,7:05:09.77 PM,0m 0.8s,0.8,0,0,0,0,0.3,0,0.3,0.671082,0.671082,-0.671082,0,0,0,-0.223694,0.223694,-1.8,3.1,116.3,116.3,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,0.5,117.2,117.2,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.529,734,1423,7.529,False,3.765,3.764,0.001,False,False,0.653,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,,
11/25/2025,7:05:09.88 PM,0m 0.9s,0.9,0,0,0,0,0.3,0,0.4,0.447388,0.671082,-0.447388,0,0,0,-0.223694,0.223694,-1.6,0,116,116,,Starting Motors,Auto Fly,,11,0,False,,Neo,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Free,0,-1.9,117.2,117.2,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1024,1024,C,False,False,False,False,False,0,False,False,False,False,51,7.529,734,1423,7.529,False,3.765,3.764,0.001,False,False,0.653,70.9,70.8,70.8,,,,,,,,,Idle,,,,,,1,Go Home,False,False,True,False,False,False,False,False,False,False,False,False,,,,,98.4,False,1,1,False,False,False,False,,True,False,False,,98.4,,9.8,21,,,,,Calm,False,False,,1.19.0,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,129.5,0.4,104.9,8.321864,4.47388,0,4839,XRDrone,1581F87LB24AL002,7YZFM7V31129DM,6UZTN4P0011919,87HKMACAG0W7J6,DJI Fly,,1.19.0,AD700193-57D5-3872-3DB4-884CCCF8546D,1581F87LB24AL00201LN,7YZFM7V31129DM,,6UZTN4P0011919,87HKMACAG0W7J6,,,,,,
